"Country","Date","Value","Status","Description"
"Spain","2020-05-18 00:00:00",594321,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-19 00:00:00",612679,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-20 00:00:00",620107,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-21 00:00:00",627706,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-22 00:00:00",630603,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-23 00:00:00",579189,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-24 00:00:00",538098,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-25 00:00:00",624823,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-26 00:00:00",640116,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-27 00:00:00",643185,1,"Recommended not to leave the house"
"Spain","2020-05-28 00:00:00",639557,1,"Recommended not to leave the house"
"Spain","2020-05-29 00:00:00",638401,1,"Recommended not to leave the house"
"Spain","2020-05-30 00:00:00",579806,1,"Recommended not to leave the house"
"Spain","2020-05-31 00:00:00",536343,1,"Recommended not to leave the house"
"Spain","2020-06-01 00:00:00",629145,1,"Recommended not to leave the house"
"Spain","2020-06-02 00:00:00",656727,1,"Recommended not to leave the house"
"Spain","2020-06-03 00:00:00",664154,1,"Recommended not to leave the house"
"Spain","2020-06-04 00:00:00",652985,1,"Recommended not to leave the house"
"Spain","2020-06-05 00:00:00",642918,1,"Recommended not to leave the house"
"Spain","2020-06-06 00:00:00",585374,1,"Recommended not to leave the house"
"Spain","2020-06-07 00:00:00",538702,1,"Recommended not to leave the house"
"Spain","2020-06-08 00:00:00",623672,1,"Recommended not to leave the house"
"Spain","2020-06-09 00:00:00",644278,1,"Recommended not to leave the house"
"Spain","2020-06-10 00:00:00",655647,1,"Recommended not to leave the house"
"Spain","2020-06-11 00:00:00",652471,1,"Recommended not to leave the house"
NULL,"2020-06-12 00:00:00",649040,NULL,NULL
NULL,"2020-06-13 00:00:00",584371,NULL,NULL
NULL,"2020-06-14 00:00:00",544088,NULL,NULL
NULL,"2020-06-15 00:00:00",23045.7,NULL,NULL
