"Country","Date","Value","Status","Description"
"Spain","2020-04-20 00:00:00",582802,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-21 00:00:00",607392,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-22 00:00:00",606143,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-23 00:00:00",597168,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-24 00:00:00",592162,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-25 00:00:00",553588,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-26 00:00:00",519878,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-27 00:00:00",588388,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-28 00:00:00",599415,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-29 00:00:00",597619,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-04-30 00:00:00",590233,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-01 00:00:00",523008,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-02 00:00:00",526920,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-03 00:00:00",507065,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-04 00:00:00",583062,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-05 00:00:00",605000,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-06 00:00:00",608228,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-07 00:00:00",603849,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-08 00:00:00",596940,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-09 00:00:00",546886,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-10 00:00:00",513241,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-11 00:00:00",590740,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-12 00:00:00",616248,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-13 00:00:00",615176,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-14 00:00:00",618387,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-15 00:00:00",606696,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-16 00:00:00",553431,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-17 00:00:00",516969,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-18 00:00:00",594321,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-19 00:00:00",612679,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
"Spain","2020-05-20 00:00:00",620107,2,"Required to not leave the house with exceptions for daily exercise, grocery shopping, and essential trips"
